donanim,motor
3.0 313BG M Plus xDrive40d,3
3.0 313BG Prestige Plus xDrive40d,3
3.0 313BG Pure xDrive40d,3
1.2 PURETECH 82HP M/T LIVE,1
1.6 HDI 92HP M/T ATTRACTION,1
1.6 HDI 92HP M/T CONFORT,1
1.6 HDI 92HP M/T EXCLUSIVE,1
1.6 HDI 92HP M/T FEEL,1
1.6 HDI 92HP M/T LIVE,1
1.6 HDI 92HP M/T SHINE,1
1.2 PURETECH 82HP BVM5 FEEL,1
1.2 PURETECH 82HP BVM5 LIVE,1
1.6 BLUEHDI 100HP S&S BVM5 SHINE,1
1.6 BLUEHDI 75HP S&S BVM5 FEEL,1
1.6 BLUEHDI 75HP S&S BVM5 LIVE,1
1.6 BLUEHDI 120HP EAT6 CONFORT,1
1.6 HDI 92HP M/T CONFORT,1
1.6 HDI 92HP M/T EASY,1
1.2 PURETECH 82HP ETG5 FEEL,1
1.2 PURETECH 82HP ETG5 SHINE,1
1.6 E-HDI 92HP ETG6 FEEL,1
1.6 E-HDI 92HP ETG6 SHINE,1
1.6 BLUEHDI 120HP EAT6 INTENSIVE 5K,1
1.6 BLUEHDI 120HP EAT6 INTENSIVE 7K,1
1.5 dCi 110 bg Ambiance 4x4,1
1.5 dCi 110 bg EDC Blackshadow,1
1.5 dCi 110 bg EDC Laureate 4x2,1
1.5 dCi 110 bg Laureate 4x2,1
1.5 dCi 110 bg Laureate 4x4,1
1.5 dCi 90 bg Ambiance 4x2,1
1.5 dCi 90 bg Laureate 4x2,1
1.6 16V 115 bg Ambiance 4x2,1
1.5 dCi 110 bg Stepway - 5 koltuklu,1
1.5 dCi 110 bg Stepway - 7 koltuklu,1
1.5 dCi 90 bg Laureate - 5 koltuklu,1
1.5 dCi 90 bg Laureate - 7 koltuklu,1
1.0 Sce 75 bg Ambiance,1
1.5 dCi 90 bg Ambiance,1
1.0 90 bg Easy-R Stepway Turbo ,1
1.0 90 bg Stepway Turbo,1
1.0 Sce 75 bg Ambiance,1
1.5 dCi 90 bg Easy-R Stepway,1
1.5 dCi 90 bg Stepway,1
0.9 105 HP Twinair 500 Sport,0
0.9 85 HP Twinair Dualogic 500 Sport,0
1.2 Fire 69 HP 500 Pop,1
1.2 Fire 69 HP Dualogic 500 Lounge,1
1.2 Fire 69 HP Dualogic 500 Sport,1
1.2 Fire 69 HP Dualogic 500C Lounge,1
1.2 Fire 69 HP Dualogic 500C Riva,1
1.3 M.Jet 95 HP Dualogic Popstar,1
1.3 M.Jet 95 HP Dualogic Rockstar,1
1.3 M.Jet 95 HP Popstar,1
1.3 M.Jet 95 HP Rockstar,1
1.4 Fire 95 HP Popstar,1
1.6 M.Jet 120 HP Rockstar,1
1.3 M.Jet 95 HP Dualogic (5 Koltuk) Lounge,1
1.3 M.Jet 95 HP Dualogic (7 Koltuk) Lounge,1
1.6 M.Jet 120 HP (7 Koltuk) Lounge,1
1.3 M.Jet 95 HP Cross,1
1.4 Multi Air 140 HP DCT Cross,1
1.4 Multi Air 140 HP DCT Cross Plus,1
1.4 Multi Air 170 HP AT9 4X4 Cross Plus,1
1.6 E-TORQ 110 HP Pop Plus,1
1.6 Multi Jet 120 HP Cross Plus,1
1.6 Multi Jet 120 HP DCT Cross,1
1.6 Multi Jet 120 HP DCT Cross Plus,1
1.6 M.Jet 105 HP Easy,1
1.6 M.Jet 105 HP Easy Maxi,1
1.6 M.Jet 105 HP Premio Plus (Gri / Black),1
1.6 M.Jet 105 HP Safeline,1
1.6 M.Jet 90 HP Conformatic Premio Plus (Gri / Black),1
1.3 M.Jet 95 HP Easy Plus,1
1.3 M.Jet 95 HP Urban Plus,1
1.4 Fire 95 HP Easy Plus,1
1.4 Fire 95 HP Lounge Plus,1
1.4 Fire 95 HP Urban Plus,1
1.4 T-Jet 120 HP Lounge Plus,1
1.6 E-Torq 110 HP AT6 Easy Plus,1
1.6 E-Torq 110 HP AT6 Lounge Plus,1
1.6 E-Torq 110 HP AT6 Urban Plus,1
1.6 M.Jet 120 HP DCT Easy Plus,1
1.6 M.Jet 120 HP DCT Lounge Plus,1
1.6 M.Jet 120 HP DCT Urban Plus,1
1.6 M.Jet 120 HP Lounge Plus,1
1.6 M.Jet 120 HP Urban Plus,1
1.3 M.Jet 95 HP Easy,1
1.3 M.Jet 95 HP Lounge,1
1.3 M.Jet 95 HP Urban,1
1.4 Fire 95 HP Easy,1
1.4 Fire 95 HP Lounge,1
1.4 Fire 95 HP Urban,1
1.6 E-Torq 110 HP AT6 Lounge,1
1.6 E-Torq 110 HP AT6 Urban,1
1.6 M.Jet 120 HP DCT Comfort,1
1.6 M.Jet 120 HP DCT Lounge,1
1.6 M.Jet 120 HP DCT Urban,1
1.6 M.Jet 120 HP Lounge,1
1.6 M.Jet 120 HP Urban,1
1.6 E-Torq 110 HP AT6 Lounge Plus,1
1.6 E-Torq 110 HP AT6 Urban Plus,1
1.6 M.Jet 120 HP DCT Lounge Plus,1
1.6 M.Jet 120 HP DCT Urban Plus,1
1.6 M.Jet 120 HP Lounge Plus,1
1.6 M.Jet 120 HP Urban Plus,1
1.3 M.Jet 75 HP Emotion,1
1.3 M.Jet 75 HP Pop,1
1.3 M.Jet 95 HP Premio,1
1.3 M.Jet 95 HP Pop,1
1.3 M.Jet 95 HP Urban,1
1.4 77 HP Pop,1
0.9 85 HP Twinair Dualogic Lounge S1,0
1.2 69 HP Pop S1,1
1.3 M.Jet 95 HP Cross S1,1
1.4 Fire 77 HP S&S Popstar,1
1.5L TDCi 95PS (215 Nm) Titanium,1
1.6L Ti-VCT 105PS (150 Nm) Titanium,1
1.6L Ti-VCT 105PS (150 Nm) Trend,1
1.5L EcoBoost 182PS (240 Nm) Titanium,1
1.5L EcoBoost 182PS (240 Nm) Trend,1
1.5L TDCi 120PS (300Nm) Titanium,1
1.5L TDCi 120PS (300Nm) Trend,1
1.6L TDCi  115PS (270Nm) Titanium,1
1.6L TDCi  115PS (270Nm) Trend,1
1.6L Ti-VCT 125PS (159 Nm) Trend,1
1.5L EcoBoost 182PS (240 Nm) Titanium,1
1.5L TDCi 120PS (270Nm) Titanium,1
1.5L TDCi 120PS (300Nm) Titanium,1
1.0L Ecoboost 100PS (170 Nm) ST Line ,1
1.0L Ecoboost 140PS (180 Nm) ST Line ,1
1.2L 82PS (114 Nm) Trend,1
1.2L 82PS (114 Nm) Trend X,1
1.4L  96PS (128 Nm) Titanium,1
1.5L TDCi 75PS (185 Nm) Titanium,1
1.5L TDCi 75PS (185 Nm) Trend,1
1.5L TDCi 75PS (185 Nm) Trend X,1
1.6L Ti-VCT  105PS (150 Nm) Titanium,1
1.6L Ti-VCT  105PS (150 Nm) Trend,1
1.6L Ti-VCT  105PS (150 Nm) Trend X,1
1.0L EcoBoost 125PS (170 Nm) Titanium,1
1.0L EcoBoost 125PS (170 Nm) Titanium,1
1.5L TDCi 120PS (300 Nm) Style,1
1.5L TDCi 120PS (300 Nm) Titanium,1
1.5L TDCi 120PS (300 Nm) Trend X,1
1.6L TDCi 115PS (270 Nm) Style,1
1.6L TDCi 115PS (270 Nm) Titanium,1
1.6L TDCi 95PS (230 Nm) Trend X,1
1.6L Ti-VCT 125PS (159 Nm) Style,1
1.6L Ti-VCT 125PS (159 Nm) Style,1
1.6L Ti-VCT 125PS (159 Nm) Titanium,1
1.6L Ti-VCT 125PS (159 Nm) Titanium,1
1.6L Ti-VCT 125PS (159 Nm) Trend X,1
1.6L Ti-VCT 125PS (159 Nm) Trend X,1
1.0L EcoBoost 125PS (170 Nm) ST Line ,1
1.0L EcoBoost 125PS (170 Nm) Titanium,1
1.0L EcoBoost 125PS (170 Nm) Titanium,1
1.5L TDCi 120PS (300 Nm) ST Line ,1
1.5L TDCi 120PS (300 Nm) Style,1
1.5L TDCi 120PS (300 Nm) Titanium,1
1.5L TDCi 120PS (300 Nm) Trend X,1
1.6L TDCi 115PS (270 Nm) Style,1
1.6L TDCi 115PS (270 Nm) Titanium,1
1.6L TDCi 95PS (230 Nm) Trend X,1
1.6L Ti-VCT 125PS (159 Nm) ST Line ,1
1.6L Ti-VCT 125PS (159 Nm) Style,1
1.6L Ti-VCT 125PS (159 Nm) Style,1
1.6L Ti-VCT 125PS (159 Nm) Titanium,1
1.6L Ti-VCT 125PS (159 Nm) Titanium,1
1.6L Ti-VCT 125PS (159 Nm) Trend X,1
1.6L Ti-VCT 125PS (159 Nm) Trend X,1
1.5L TDCi 120PS (300 Nm) Style,1
1.5L TDCi 120PS (300 Nm) Titanium,1
1.5L TDCi 120PS (300 Nm) Trend X,1
1.6L TDCi 115PS (270 Nm) Style,1
1.6L TDCi 115PS (270 Nm) Titanium,1
1.6L TDCi 95PS (230 Nm) Trend X,1
1.5L EcoBoost 160PS (240 Nm) Style,1
2.0L TDCi 180PS (400Nm) Titanium,2
1.5L EcoBoost 182PS (240 Nm) Style,1
1.5L TDCi 120PS 120PS (270Nm) Style,1
1.5L TDCi 120PS 120PS (270Nm) Titanium,1
1.5L TDCi 120PS 120PS (300Nm) ST-Line,1
1.5L TDCi 120PS 120PS (300Nm) Style,1
1.5L TDCi 120PS 120PS (300Nm) Titanium,1
1.5L EcoBoost 160PS (240 Nm) Style,1
1.5L EcoBoost 160PS (240 Nm) Titanium,1
1.6L TDCi 115PS (270Nm) Style,1
1.6L TDCi 115PS (270Nm) Titanium,1
2.0L TDCi 180PS (400Nm) Style,2
2.0L TDCi 180PS (400Nm) Titanium,2
1.5L EcoBoost 160PS (240 Nm) Titanium,1
1.5L EcoBoost 160PS (240 Nm) Titanium,1
1.5L EcoBoost 160PS (240 Nm) Style,1
2.0L TDCi 180PS (400Nm) Titanium,2
1.5L 182PS Sport,1
1.5L 182PS RS,1
1.6L 125PS Elegance,1
1.6L 125PS Elegance,1
1.6L 125PS Elegance ECO,1
1.6L 125PS Elegance ECO,1
1.6L 125PS Executive,1
1.6L 125PS Executive ECO,1
1.6L 125PS Executive ECO,1
1.6L 125PS Premium,1
1.6L 125PS Premium ECO,1
1.6L 125PS Premium ECO,1
1.6L 120PS Elegance,1
1.6L 120PS Premium,1
1.6L 160PS Elegance,1
1.6L 160PS Executive,1
1.6L 160PS Executive+,1
1.6L 160PS Premium,1
1.5L 130PS Elegance,1
1.5L 130PS Elegance,1
1.5L 130PS Executive,1
1.5L 130PS Executive,1
1.5L 130PS Premium,1
1.6L 120PS Elegance,1
1.6L 120PS Premium,1
1.3L 102PS Dream,1
1.3L 102PS Elegance,1
1.3L 102PS Elegance,1
1.3L 102PS Premium,1
2.0L 310PS Sport,2
1.4 D-CVVT MODE (BENZİNLİ),1
1.4 D-CVVT MODE PLUS (BENZİNLİ),1
1.4 D-CVVT MODE PLUS CVT OTM. (BENZİNLİ),1
1.4 D-CVVT PRIME (BENZİNLİ),1
1.4 D-CVVT PRIME CVT OTM. (BENZİNLİ),1
1.6 CRDI MODE (DİZEL),1
1.6 CRDI MODE DCT (DİZEL),1
1.6 CRDI MODE PLUS (DİZEL),1
1.6 CRDI MODE PLUS DCT (DİZEL),1
1.6 CRDI PRIME (DİZEL),1
1.6 CRDI PRIME DCT (DİZEL),1
1.6 CRDi ELITE (DİZEL),1
1.6 CRDi ELITE DCT (DİZEL),1
1.6 CRDi ELITE PLUS DCT (DİZEL),1
1.6 CRDi ELITE PLUS DCT (SUNROOF) (DİZEL),1
1.6 D-CVVT STYLE (BENZİNLİ),1
1.6 D-CVVT STYLE OTM. (BENZİNLİ),1
1.0 D-CVVT JUMP (BENZİNLİ),1
1.0 D-CVVT JUMP OTM. (BENZİNLİ),1
1.0 D-CVVT STYLE OTM. (BENZİNLİ),1
1.2 D-CVVT ELITE OTM. (BENZİNLİ),1
1.2 D-CVVT STAR OTM. (BENZİNLİ),1
1.0 T-GDI STAR (BENZİNLİ) ,1
1.2 MPI ELITE (BENZİNLİ),1
1.2 MPI JUMP (BENZİNLİ),1
1.2 MPI STYLE (BENZİNLİ),1
1.4 CRDi ELITE (DİZEL),1
1.4 CRDi JUMP (DİZEL),1
1.4 CRDi STYLE (DİZEL),1
1.4 MPI ELITE OTM. (BENZİNLİ),1
1.4 MPI JUMP OTM. (BENZİNLİ),1
1.4 MPI STAR OTM. (BENZİNLİ)  ,1
1.4 MPI STYLE OTM. (BENZİNLİ),1
1.0 T-GDI ELITE (BENZİNLİ),1
1.4 MPI ELITE OTM. (BENZİNLİ),1
1.4 MPI (BENZİNLİ),1
1.4 MPI OTM. (BENZİNLİ),1
1.4 MPI BLUE DRIVE (BENZİNLİ),1
1.6 CRDi BLUE DRIVE (DİZEL),1
