donanim,fiyat
1.5 136BG Ultimate M Sport,265800
1.5 136BG Joy,217700
1.5 136BG Luxury Plus,247200
1.5 136BG M Plus,240700
1.5 136BG Prestige,226400
1.5 136BG Sport Plus,237100
1.5 136BG Ultimate M Sport,268000
2.0 190BG Luxury Line,404100
2.0 190BG M PLus,415400
2.0 190BG Sport Line,400300
2.0 190BG Ultimate M Sport,449300
2.0 190BG Joy xDrive,322200
2.0 190BG Luxury Plus xDrive,360800
2.0 190BG M Plus xDrive,352300
2.0 190BG Sport Plus xDrive,347600
2.0 190BG Ultimate M Sport xDrive,388100
2.0 190BG Joy xDrive,325000
2.0 190BG Luxury Plus xDrive,363600
2.0 190BG M Plus xDrive,355100
2.0 190BG Sport Plus xDrive,350400
2.0 190BG Ultimate M Sport xDrive,390900
2.0 252BG Luxury Line xDrive,437000
2.0 252BG M Sport xDrive,448300
2.0 252BG Sport Line xDrive,433300
2.0 252BG Ulitmate M Sport xDrive,482200
2.0 252BG Joy xDrive,359800
2.0 252BG Luxury Plus xDrive,398400
2.0 252BG M Plus xDrive,390000
2.0 252BG Sport Plus xDrive,385300
2.0 252BG Ultimate M Sport xDrive,425700
2.0 252BG Joy xDrive,362700
2.0 252BG Luxury Plus xDrive,401300
2.0 252BG M Plus xDrive,392800
2.0 252BG Sport Plus xDrive,388100
2.0 252BG Ultimate M Sport xDrive,428600
2.0 190BG Luxury Line,416300
2.0 190BG M Sport,423400
2.0 190BG Prestige,406900
2.0 190BG Sport Line,404600
2.0 190BG Luxury Line xDrive,437500
2.0 190BG M Sport xDrive,444600
2.0 190BG Prestige xDrive,428100
2.0 190BG Sport Line xDrive,425700
3.0 265BG Luxury Line xDrive,595200
3.0 265BG M Sport xDrive,604000
3.0 265BG Prestige xDrive,583600
3.0 265BG Sport Line xDrive,580700
2.0 252BG Executive Luxury,338600
2.0 252BG Executive M,343300
2.0 252BG Executive Prestige,329200
2.0 252BG Executive Sport,326900
2.0 252BG Executive Luxury xDrive,360300
2.0 252BG Executive M xDrive,365000
2.0 252BG Executive Prestige xDrive,350900
2.0 252BG Executive Sport xDrive,348500
3.0 340BG Executive Luxury xDrive,595200
3.0 340BG Executive M xDrive,601100
3.0 340BG Executive Prestige xDrive,583600
3.0 340BG Executive Sport xDrive,580700
3.0 313BG M Sport xDrive,942100
3.0 313BG Pure xDrive,866300
3.0 313BG Pure Excellence xDrive,895400
3.0 313BG Pure Experience xDrive,907100
3.0 313BG M Sport xDrive,872100
3.0 313BG Pure xDrive,796300
3.0 313BG Pure Excellence xDrive,825500
3.0 313BG Pure Experience xDrive,837100
3.0 313BG M Sport xDrive,895400
