,marka,model,donanim,motor,yakit,vites,fiyat,websitesi,sil1,sil2
67,Audi,A4 Avant,2.0 TFSI 252 hp quattro Dynamic S tronic,2000,Benzin,Otomatik,335519.0,http://www.audi.com.tr/,,
68,Audi,A4 Avant,2.0 TFSI 252 hp quattro Sport S tronic,2000,Benzin,Otomatik,381481.0,http://www.audi.com.tr/,,
69,Audi,A5 Coupe,1.4 TFSI 150 hp Design S tronic,1400,Benzin,Otomatik,219464.0,http://www.audi.com.tr/,,
70,Audi,A5 Coupe,1.4 TFSI 150 hp Dynamic S tronic,1400,Benzin,Otomatik,212158.0,http://www.audi.com.tr/,,
71,Audi,A5 Coupe,1.4 TFSI 150 hp Sport S tronic,1400,Benzin,Otomatik,224796.0,http://www.audi.com.tr/,,
72,Audi,A5 Coupe,2.0 TDI 190 hp Design S tronic,2000,Dizel,Otomatik,311012.0,http://www.audi.com.tr/,,
73,Audi,A5 Coupe,2.0 TDI 190 hp Dynamic S tronic,2000,Dizel,Otomatik,301413.0,http://www.audi.com.tr/,,
74,Audi,A5 Coupe,2.0 TDI 190 hp quattro Design S tronic,2000,Dizel,Otomatik,328520.0,http://www.audi.com.tr/,,
75,Audi,A5 Coupe,2.0 TDI 190 hp quattro Dynamic S tronic,2000,Dizel,Otomatik,318932.0,http://www.audi.com.tr/,,
76,Audi,A5 Coupe,2.0 TDI 190 hp quattro Sport S tronic,2000,Dizel,Otomatik,335519.0,http://www.audi.com.tr/,,
77,Audi,A5 Coupe,2.0 TDI 190 hp Sport S tronic,2000,Dizel,Otomatik,318010.0,http://www.audi.com.tr/,,
78,Audi,A5 Coupe,2.0 TFSI 252 hp quattro Design S tronic,2000,Benzin,Otomatik,351998.0,http://www.audi.com.tr/,,
79,Audi,A5 Coupe,2.0 TFSI 252 hp quattro Dynamic S tronic,2000,Benzin,Otomatik,342409.0,http://www.audi.com.tr/,,
80,Audi,A5 Coupe,2.0 TFSI 252 hp quattro Sport S tronic,2000,Benzin,Otomatik,356807.0,http://www.audi.com.tr/,,
81,Audi,A5 Sportback,1.4 TFSI 150 hp Design S tronic,1400,Benzin,Otomatik,219464.0,http://www.audi.com.tr/,,
82,Audi,A5 Sportback,1.4 TFSI 150 hp Dynamic S tronic,1400,Benzin,Otomatik,212158.0,http://www.audi.com.tr/,,
83,Audi,A5 Sportback,1.4 TFSI 150 hp Sport S tronic,1400,Benzin,Otomatik,223128.0,http://www.audi.com.tr/,,
84,Audi,A5 Sportback,2.0 TDI 190 hp  Sport S tronic,2000,Dizel,Otomatik,315821.0,http://www.audi.com.tr/,,
85,Audi,A5 Sportback,2.0 TDI 190 hp Design S tronic,2000,Dizel,Otomatik,311012.0,http://www.audi.com.tr/,,
86,Audi,A5 Sportback,2.0 TDI 190 hp Dynamic S tronic,2000,Dizel,Otomatik,301413.0,http://www.audi.com.tr/,,
87,Audi,A5 Sportback,2.0 TDI 190 hp quattro Design S tronic,2000,Dizel,Otomatik,328520.0,http://www.audi.com.tr/,,
88,Audi,A5 Sportback,2.0 TDI 190 hp quattro Dynamic S tronic,2000,Dizel,Otomatik,318932.0,http://www.audi.com.tr/,,
89,Audi,A5 Sportback,2.0 TDI 190 hp quattro Sport S tronic,2000,Dizel,Otomatik,333330.0,http://www.audi.com.tr/,,
90,Audi,A5 Sportback,2.0 TFSI 252 hp quattro Design S tronic,2000,Benzin,Otomatik,351998.0,http://www.audi.com.tr/,,
91,Audi,A5 Sportback,2.0 TFSI 252 hp quattro Dynamic S tronic,2000,Benzin,Otomatik,342409.0,http://www.audi.com.tr/,,
92,Audi,A5 Sportback,2.0 TFSI 252 hp quattro Sport S tronic,2000,Benzin,Otomatik,356807.0,http://www.audi.com.tr/,,
93,Audi,A6,2.0 TDI 190 hp quattro S tronic ,2000,Dizel,Otomatik,384366.0,http://www.audi.com.tr/,,
94,Audi,A6,2.0 TDI 190 hp S tronic ,2000,Dizel,Otomatik,359202.0,http://www.audi.com.tr/,,
95,Audi,A6,3.0 TDI 272 hp quattro S tronic ,3000,Dizel,Otomatik,499119.0,http://www.audi.com.tr/,,
96,Audi,A6,3.0 TDI 320 hp quattro tiptronic,3000,Dizel,Otomatik,566365.0,http://www.audi.com.tr/,,
97,Audi,A6 Allroad,3.0 TDI 272 hp quattro S tronic,3000,Dizel,Otomatik,571639.0,http://www.audi.com.tr/,,
98,Audi,A6 Allroad,3.0 TDI 320 hp quattro tiptronic,3000,Dizel,Otomatik,638885.0,http://www.audi.com.tr/,,
99,Audi,A6 Avant,2.0 TDI 190 hp quattro S tronic,2000,Dizel,Otomatik,400472.0,http://www.audi.com.tr/,,
100,Audi,A6 Avant,2.0 TDI 190 hp S tronic,2000,Dizel,Otomatik,375307.0,http://www.audi.com.tr/,,
101,Audi,A7 Sportback,2.0 TFSI 252 hp quattro S tronic,2000,Benzin,Otomatik,466456.0,http://www.audi.com.tr/,,
102,Audi,A7 Sportback,3.0 TDI 272 hp quattro S tronic,3000,Dizel,Otomatik,632359.0,http://www.audi.com.tr/,,
103,Audi,A7 Sportback,3.0 TDI 320 hp quattro tiptronic,3000,Dizel,Otomatik,691622.0,http://www.audi.com.tr/,,
104,Audi,A8 L,2.0 TFSI 252 hp quattro tiptronic,2000,Benzin,Otomatik,770257.0,http://www.audi.com.tr/,,
